
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1ÿ580 K
Registry                        96 Services                   0     40ÿ496 K
smss.exe                       492 Services                   0        924 K
csrss.exe                      676 Services                   0      4ÿ452 K
wininit.exe                    784 Services                   0      5ÿ308 K
csrss.exe                      832 Console                    1      4ÿ896 K
services.exe                   856 Services                   0      8ÿ072 K
lsass.exe                      872 Services                   0     14ÿ256 K
svchost.exe                    984 Services                   0      3ÿ456 K
fontdrvhost.exe               1000 Services                   0      2ÿ568 K
svchost.exe                   1020 Services                   0     27ÿ260 K
WUDFHost.exe                   380 Services                   0      9ÿ492 K
WUDFHost.exe                   636 Services                   0      5ÿ600 K
svchost.exe                    940 Services                   0     13ÿ460 K
svchost.exe                   1036 Services                   0      8ÿ120 K
winlogon.exe                  1124 Console                    1      7ÿ716 K
fontdrvhost.exe               1188 Console                    1     19ÿ036 K
dwm.exe                       1256 Console                    1     46ÿ052 K
svchost.exe                   1400 Services                   0     20ÿ800 K
svchost.exe                   1408 Services                   0      9ÿ440 K
svchost.exe                   1452 Services                   0      5ÿ752 K
svchost.exe                   1460 Services                   0      8ÿ776 K
svchost.exe                   1476 Services                   0      6ÿ504 K
svchost.exe                   1568 Services                   0      8ÿ452 K
svchost.exe                   1672 Services                   0     12ÿ280 K
svchost.exe                   1736 Services                   0      9ÿ772 K
svchost.exe                   1800 Services                   0     13ÿ468 K
svchost.exe                   1836 Services                   0      6ÿ100 K
svchost.exe                   1860 Services                   0      8ÿ856 K
svchost.exe                   1888 Services                   0     10ÿ464 K
svchost.exe                   1912 Services                   0      6ÿ288 K
svchost.exe                   1960 Services                   0      7ÿ492 K
svchost.exe                   1968 Services                   0      5ÿ712 K
svchost.exe                   2040 Services                   0      6ÿ524 K
svchost.exe                   2076 Services                   0      9ÿ084 K
svchost.exe                   2120 Services                   0      6ÿ700 K
svchost.exe                   2164 Services                   0      8ÿ196 K
svchost.exe                   2236 Services                   0      6ÿ844 K
NVDisplay.Container.exe       2248 Services                   0      8ÿ924 K
dasHost.exe                   2264 Services                   0      3ÿ992 K
svchost.exe                   2272 Services                   0     10ÿ596 K
svchost.exe                   2336 Services                   0      8ÿ580 K
svchost.exe                   2360 Services                   0      7ÿ264 K
svchost.exe                   2368 Services                   0     34ÿ724 K
svchost.exe                   2380 Services                   0      5ÿ324 K
NVDisplay.Container.exe       2488 Console                    1     18ÿ296 K
Memory Compression            2496 Services                   0     73ÿ208 K
svchost.exe                   2616 Services                   0      8ÿ548 K
svchost.exe                   2636 Services                   0      5ÿ820 K
svchost.exe                   2656 Services                   0      8ÿ672 K
igfxCUIService.exe            2696 Services                   0      7ÿ804 K
svchost.exe                   2800 Services                   0      7ÿ384 K
svchost.exe                   2808 Services                   0      6ÿ452 K
svchost.exe                   2820 Services                   0      7ÿ268 K
svchost.exe                   2952 Services                   0     14ÿ020 K
svchost.exe                   2968 Services                   0      4ÿ488 K
svchost.exe                   3000 Services                   0      4ÿ932 K
svchost.exe                   3116 Services                   0      9ÿ124 K
svchost.exe                   3284 Services                   0     11ÿ552 K
svchost.exe                   3468 Services                   0      5ÿ540 K
svchost.exe                   3480 Services                   0      4ÿ044 K
svchost.exe                   3492 Services                   0     10ÿ552 K
svchost.exe                   3752 Services                   0      6ÿ912 K
svchost.exe                   3884 Services                   0     12ÿ004 K
svchost.exe                   3928 Services                   0     10ÿ060 K
AvastSvc.exe                  3944 Services                   0     39ÿ752 K
spoolsv.exe                   2860 Services                   0     10ÿ428 K
svchost.exe                   3556 Services                   0      6ÿ264 K
svchost.exe                   4056 Services                   0      6ÿ636 K
afwServ.exe                   4084 Services                   0     24ÿ504 K
svchost.exe                   4104 Services                   0      7ÿ784 K
svchost.exe                   4256 Services                   0      6ÿ584 K
LogWatNT.exe                  4468 Services                   0      3ÿ196 K
svchost.exe                   4480 Services                   0      5ÿ880 K
IpOverUsbSvc.exe              4496 Services                   0      7ÿ952 K
svchost.exe                   4504 Services                   0     11ÿ828 K
